x,y,z,T
111.3,23.48,44,27.9
105.83,23.42,872,24.7
117.03,23.43,10,27.6
103.38,23.38,1295,23.7
107.58,23.32,99,28.8
113.33,23.17,37,28.1
114.42,23.08,37,28.2
112.45,23.03,11,29.2
115.37,22.8,57,28.8
100.97,22.78,1305,22.6
111.57,22.77,58,28.4
110.17,22.65,83,27.5
108.22,22.63,115,27.6
99.93,22.57,1047,23.6
114.1,22.55,20,29.1
109.3,22.42,61,27.7
110.93,22.35,95,27.5
106.85,22.33,125,28.1
112.78,22.25,15,28.9
100.78,22,550,26.7
108.62,21.95,3,28.8
111.97,21.83,0,28.3
101.57,21.48,633,25.2
109.13,21.45,11,28.5
110.3,21.15,23,28.6
109.1,21.03,17,28
110.35,20.03,16,28.8
109.58,19.52,133,27.8
108.62,19.1,3,28.7
109.83,19.03,344,27.2
109.52,18.23,28,25.3
